dealstatus,same_sector,same_country,target_sector,acquiror_sector,deal_type,roa_target,initial_stake
1,True,False,Other,Other,acquisition_stake_increased,0.066134,27.99
1,False,False,Machinery,Other,acquisition_other%,0.228538,0.0
0,False,True,Other,Metals,acquisition_100%,-1.136574,0.0
1,False,True,Machinery,Primary,acquisition_100%,-0.263117,0.0
0,False,True,Primary,Other,acquisition_100%,-0.083059,0.0
1,False,True,Machinery,Other,acquisition_other%,0.073934,0.0
1,False,True,Other,Primary,acquisition_100%,-0.050788,0.0
1,False,True,Wholesale,Other,acquisition_other%,-0.081839,0.0
0,True,True,Metals,Metals,acquisition_stake_increased,-1.037558,35.956
1,True,False,Other,Other,acquisition_other%,-0.493548,0.0
0,True,True,Other,Other,acquisition_100%,-0.02093,0.0
0,True,True,Metals,Metals,acquisition_100%,-0.040941,0.0
1,False,False,Machinery,Other,acquisition_other%,-0.030832,0.0
0,True,True,Other,Other,acquisition_100%,-1.794095,0.0
1,True,True,Metals,Metals,acquisition_100%,-0.074896,0.0
0,False,True,Machinery,Wholesale,acquisition_other%,-0.490363,0.0
1,False,True,Primary,Other,acquisition_100%,-0.015726,0.0
1,False,True,Food,Other,acquisition_stake_increased,0.002127,29.77
1,True,False,Other,Other,acquisition_other%,-0.010422,0.0
1,True,True,Other,Other,acquisition_stake_increased,-0.139305,41.732
1,True,False,Other,Other,acquisition_other%,0.0,0.0
0,True,True,Other,Other,acquisition_100%,0.074801,0.0
0,False,True,Metals,Chemicals,acquisition_100%,-0.571359,0.0
0,False,False,Publishing,Other,acquisition_100%,-0.043745,37.7
1,True,True,Other,Other,acquisition_100%,-12.1,0.0
1,True,True,Metals,Metals,acquisition_100%,-0.160314,0.0
1,True,True,Metals,Metals,acquisition_100%,-1.130435,0.0
1,True,False,Other,Other,acquisition_other%,-0.05407,0.0
1,True,True,Other,Other,acquisition_stake_increased,0.003846,38.147
1,False,False,Wholesale,Other,acquisition_other%,-0.018202,0.0
1,False,True,Primary,Metals,acquisition_100%,-0.430927,0.0
0,False,True,Metals,Other,acquisition_100%,-0.224258,0.0
1,True,True,Other,Other,acquisition_stake_increased,0.018503,35.998
0,True,True,Other,Other,acquisition_other%,-0.324096,0.0
1,True,True,Other,Other,acquisition_stake_increased,-0.814231,38.0
1,False,True,Publishing,Other,acquisition_other%,-1.625202,0.0
0,True,True,Other,Other,acquisition_other%,-0.129304,0.0
0,False,True,Machinery,Other,acquisition_100%,0.243691,0.0
1,True,True,Other,Other,acquisition_other%,-0.121702,0.0
0,False,True,Metals,Primary,acquisition_100%,-2.284855,0.0
1,True,False,Other,Other,acquisition_stake_increased,-0.020121,6.43
1,False,True,Primary,Other,acquisition_100%,-0.145105,23.09
0,True,True,Metals,Metals,acquisition_100%,-0.432432,0.0
1,False,True,Machinery,Chemicals,acquisition_other%,-0.710522,0.0
0,False,True,Machinery,Chemicals,acquisition_100%,-0.687543,0.0
0,False,True,Metals,Other,acquisition_100%,-0.792786,0.0
0,False,True,Publishing,Other,acquisition_other%,-1.625202,0.0
0,True,False,Other,Other,acquisition_100%,-2.981674,0.0
0,True,True,Machinery,Machinery,acquisition_100%,-0.967583,0.0
1,False,False,Metals,Other,acquisition_stake_increased,-0.033919,16.222
1,False,True,Wholesale,Other,acquisition_stake_increased,0.066198,27.0
1,False,True,Machinery,Other,acquisition_other%,-0.616277,0.0
1,True,True,Other,Other,acquisition_100%,-0.550194,0.0
0,True,True,Other,Other,acquisition_100%,-0.863473,0.0
1,True,True,Other,Other,acquisition_other%,-0.08492,0.0
1,True,False,Other,Other,acquisition_other%,0.094529,0.0
0,True,True,Primary,Primary,acquisition_100%,-0.085577,0.0
1,False,True,Primary,Other,acquisition_other%,-0.127097,0.0
1,True,True,Metals,Metals,acquisition_100%,-1.299915,0.0
1,False,False,Food,Other,acquisition_stake_increased,-0.076972,42.057
0,True,True,Metals,Metals,acquisition_100%,-0.178251,0.0
0,False,True,Metals,Other,acquisition_100%,-4.0,0.0
1,True,True,Other,Other,acquisition_other%,-0.749483,0.0
0,False,True,Other,Primary,acquisition_other%,-0.088316,0.0
1,True,True,Other,Other,acquisition_other%,0.0,0.0
0,False,True,Chemicals,Other,acquisition_100%,-1.987606,0.0
1,True,False,Other,Other,acquisition_other%,-5.392473,0.0
1,False,True,Other,Other,acquisition_other%,-3.851468,0.0
1,True,True,Other,Other,acquisition_other%,-7.232732,0.0
1,False,False,Primary,Metals,acquisition_other%,-10.461538,0.0
1,True,True,Other,Other,acquisition_other%,-0.04641,0.0
1,True,True,Other,Other,acquisition_other%,-0.090152,0.0
1,False,True,Other,Other,acquisition_other%,0.006455,0.0
1,False,True,Gas,Other,acquisition_100%,0.061281,0.0
1,True,True,Other,Other,acquisition_other%,-10.743119,0.0
0,True,True,Metals,Metals,acquisition_100%,-0.500622,0.0
1,False,True,Wholesale,Machinery,acquisition_other%,-8.64,0.0
0,True,True,Other,Other,acquisition_other%,-0.650613,0.0
1,False,True,Primary,Metals,acquisition_100%,-0.232121,20.0
1,False,False,Wholesale,Other,acquisition_stake_increased,-0.169406,39.726
1,False,True,Metals,Other,acquisition_stake_increased,-0.053213,22.403
0,True,True,Other,Other,acquisition_100%,0.056736,0.0
0,True,True,Other,Other,acquisition_100%,-0.048018,0.0
0,True,True,Other,Other,acquisition_stake_increased,0.012165,37.0
0,False,True,Metals,Other,acquisition_100%,-0.981595,0.0
0,True,True,Primary,Primary,acquisition_100%,-0.016609,0.0
0,False,True,Construction,Other,acquisition_other%,0.091072,0.0
